지점,지점명,일시,평균기온(°C),일강수량(mm)
108,서울,2024-06-01,20.7,0
108,서울,2024-06-02,20.4,
108,서울,2024-06-03,22.2,
108,서울,2024-06-04,22.8,
108,서울,2024-06-05,23.6,
108,서울,2024-06-06,24.1,
108,서울,2024-06-07,23.1,0.8
108,서울,2024-06-08,20.3,16.9
108,서울,2024-06-09,22.9,
108,서울,2024-06-10,24.7,
108,서울,2024-06-11,25.4,
108,서울,2024-06-12,24.8,
108,서울,2024-06-13,26.4,
108,서울,2024-06-14,26.3,
108,서울,2024-06-15,24.2,6.1
108,서울,2024-06-16,24.3,
108,서울,2024-06-17,24.8,
108,서울,2024-06-18,26,
108,서울,2024-06-19,28.8,
108,서울,2024-06-20,29.4,
108,서울,2024-06-21,28.1,
108,서울,2024-06-22,24.2,16.5
108,서울,2024-06-23,25.1,5.1
108,서울,2024-06-24,24.3,0
108,서울,2024-06-25,22.9,
108,서울,2024-06-26,24.9,
108,서울,2024-06-27,26.3,
108,서울,2024-06-28,26.6,
108,서울,2024-06-29,26.7,38.3
108,서울,2024-06-30,23.5,32.2
