날짜,대여 건수
2024-06-01,173591
2024-06-02,159697
2024-06-03,193053
2024-06-04,199666
2024-06-05,198583
2024-06-06,155017
2024-06-07,181310
2024-06-08,112297
2024-06-09,149146
2024-06-10,190224
2024-06-11,190585
2024-06-12,191038
2024-06-13,185467
2024-06-14,189944
2024-06-15,139913
2024-06-16,143645
2024-06-17,189298
2024-06-18,190082
2024-06-19,181663
2024-06-20,180959
2024-06-21,186124
2024-06-22,62003
2024-06-23,110471
2024-06-24,182858
2024-06-25,200205
2024-06-26,192192
2024-06-27,189922
2024-06-28,183350
2024-06-29,102866
2024-06-30,99161
